text,user_mentions_count,hashtag_count,quoted_status,binary_in_reply_to_user_id,binary_in_reply_to_screen_name,binary_in_reply_to_status_id,possibly_sensitive,user_statuses_count,user_followers_count,user_following_count,user_list_count,user_contributors_enabled,popularHashtag1,popularHashtag2,popularHashtag3,popularHashtag4,popularHashtag5,popularHashtag6,popularHashtag7,popularHashtag8,popularHashtag9,popularHashtag10,10 min RT,10 min FAVE,30 min RT,30 min FAVE,1 hr RT,1 hr FAVE,20 hr RT,20 hr FAVE,Classification,matlab,actual
I wish I could've been in the club when this just dropped 😂 https://t.co/7XhcVzE5qI,0,0,1,0,0,0,0,9513,1026,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,,
@Taylor_Renee11 @drewkaitlyn funny how she had nothing to say last night 😂,2,0,0,1,1,1,0,12932,1474,1021,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,3,1,3,0,,
Dear ALLAH&#44; You always give me one reason to smile&#44; when I have 1000 reasons to cry&#44; I’m thankful for this life&#44; I love you.,0,0,0,0,0,0,0,196706,15613,4791,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,0,,
The most excellent karma #CoogsForCharlie sent Charlie Strong's way really paid off today.Sad trombone for Art Briles.#WaaahWaaah,0,2,0,0,0,0,0,11052,728,343,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,1,4,0,,
Posting to make a DP.  https://t.co/42JW0SIocu,0,0,0,0,0,0,0,68596,5413,2810,54,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,3,0,,
Yep but it wouldn't be his ear I was twitching 😉 https://t.co/Wco2eAsfi1,0,0,1,0,0,0,0,4423,1920,359,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
Ralphie’s back! A Christmas Story 2 in on TONIGHT at 8pm et/5pm pt #spark25days https://t.co/WnRa1a1Hxi https://t.co/DpGFsOsPJe,0,1,0,0,0,0,0,11277,7829,371,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,,
That's a little pet project of mine.,0,0,0,0,0,0,0,31780,6278,15,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,3,0,,
Retweet and follow everyone who retweets my last tweet&#44; make sure you follow everyone else back to gain 100+,0,0,0,1,1,1,0,12983,95699,24873,625,0,0,0,0,0,0,0,0,0,0,0,116,22,121,23,119,25,117,25,1,,
Not sure how to find a healthy balance with media and technology? Our advice: https://t.co/hxQFQcpbL7 https://t.co/EWs6fllxAu,0,0,0,0,0,0,0,12184,59387,3516,1581,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,2,6,7,8,1,,
